calories,cook_time,course,cuisine,directions_steps,image,ingredients_list,nutrition_facts,prep_time,servings,subheading,title,total_time
635,,"Dinner, Lunch, Main Course",Continental,"Clean out the chicken and pat it dry. Remove any feathers that may be present, as well as the giblets. Preheat,Prepare the seasoning; combine the butter, garlic cloves, olive oil, chicken or vegetable stock, salt, paprika, lemon pepper, lemon juice, and herbs.,Coat the chicken with the prepared seasonings, on the outside, as well as under the skin. Stuff the chicken with the halved lemon pieces and the whole garlic head.,Truss the chicken legs (tie the legs with a kitchen string). Place the chicken with the breast side down inside your air fryer basket and air fry for 30 minutes, then flip.,Coat the chicken on the other side with any remaining seasoning, and air fry for a further 30 minutes. Use an internal read thermometer to check for doneness (it should read at least 165°F or 74°C- see notes).,Let the chicken rest for at least 10-15 minutes before carving. Serve your roast chicken with your favorite side dishes.",,"2.7 lbs (1.234 kgs) whole chicken at room temperature, with the giblets and neck removed from the cavity,2 tablespoon unsalted butter,4 cloves garlic (minced),2-3 tablespoon olive oil,2 tablespoon low-sodium chicken or vegetable stock,1 teaspoon lemon pepper,1½ tablespoon sweet or smoked ground paprika,1 tablespoon salt,3 tablespoon chopped fresh parsley,1 tablespoon chopped fresh rosemary,1 teaspoon dried oregano (or a few sprigs of fresh oregano, chopped),1 teaspoon dried thyme  (or a few sprigs of fresh thyme, chopped),2 tablespoon fresh lemon juice  (extracted from half a lemon),½ of a lemon (to stuff the chicken),1 head of garlic roughly peeled and cut in the middle crosswise (to stuff the chicken)",,15 minutes,5,"Make flavourful whole roast chicken that is juicy inside, and crispy outside using your Ninja Foodi or favorite air fryer!",Ninja Foodi Whole Chicken,25 minutes
332,24 minutes,"Dinner, Lunch, Main Course","American, Chinese, World Cuisine","Preheat your air fryer at 380 degrees F (190 degrees C).,Prepare the chicken wings: remove any present feathers. If they are whole, separate the flats from the drumsticks and cut off the tips. Pat the chicken dry as this helps keep them crispy.,Transfer the chicken wings to a bowl. Add the cornstarch, minced garlic, salt, pepper, and olive oil. Toss until all the chicken wings are fully coated. For maximum flavor, you want to allow the chicken wings to marinate for at least 30 minutes but this is optional.,Without overcrowding, arrange the chicken wings in a single layer inside your air fryer basket. Cook in batches if necessary.,Air fry the salt and pepper chicken wings at 380 degrees F (190 degrees C), for 24-30 minutes, or until they reach an internal temperature of at least 165°F (74°C). Flip them mid-cooking. Once done, remove the chicken wings from the air fryer and transfer them to a bowl.,Prepare the topping by combining salt, black or white pepper, garlic powder, and Chinese 5 spice in a small bowl. Add this spice mix to the bowl with the chicken wings and gently toss to combine.,Transfer the chicken wings to a plate, garnish them with sliced spring onions and chilis, and allow them to rest for at least 2-5 minutes.,Serve these ninja air fryer salt and pepper chicken wings with some dipping sauce, a side salad, or your favorite side dishes.",,"2 pounds chicken wings  (about 900 grams),2 tablespoon cornstarch  (optional - see notes),2 cloves garlic finely minced,½ teaspoon salt (or more, to taste),½ black or white pepper (use more or less, as preferred),1 tablespoon olive oil,½ teaspoon salt,½ teaspoon black or white pepper,½ teaspoon garlic powder (ground garlic),½ teaspoon Chinese 5 spice (optional),2 red or green chilis thinly sliced (optional - to garnish),2 sprigs spring onions (or scallions) thinly sliced (to garnish)",,5 minutes,4,"Indulge in a mouthwatering delight with these ninja air fryer salt and pepper chicken wings! Crispy and delicious, they are perfect for any occasion.",Ninja Air Fryer Chicken Wings,29 minutes
590,20 minutes,"Dinner, Lunch, Main Course","African, East African, Kenyan, Swahili","If making your own pilau masala, roast and grind half of the whole spices.,To clean the rice, fill a bowl about three-quarters full of water and stir the rice with your hand. Drain the water and repeat this process two more times until the water is clear. Finally, soak the rice in water.,While the rice is soaking, soak the whole spices in a cup of water.,Cook the beef, salt, stock cube (optional), crushed garlic and ginger, bay leaves, and water in a medium-sized pot until the meat is tender. Strain the meat and set the broth aside for later use.,Using the same pot, heat the cooking oil and add the beef and onions. Fry the beef and onions in the same pot for about 5 minutes, or until the onions are brown and the meat is browned.,Add the tomato paste, the soaked spices along with the soaking liquid, ground pilau masala, and potatoes. Stir and cook for two minutes.,Mix the reserved broth and hot water to make five cups in total. Drain the rice and set it aside.,Pour the measured hot water and broth into the pot. Add the rice and increase the heat to high. Cook uncovered for 7-8 minutes until most of the water has been absorbed. Check and add more salt if needed.,Reduce the heat to low, cover the pot with aluminum foil or a lid and cook for a further 5 minutes, until all the liquid has been absorbed and the rice is cooked through.,Allow it to sit for 5 minutes, before serving. Serve hot, with kachumbari, steamed cabbage, or your favourite dishes.",,"2 cups long-grain basmati rice,1½ tablespoon ready-made pilau masala spice,1 lb stewing beef diced,2 tablespoon garlic crushed,2 tablespoon ginger  crushed or minced,4 bay leaves,1 stock cube (optional),⅓ cup cooking oil,5 cups beef broth and water (a combination of both),4 potatoes peeled and cubed (optional),2 medium-sized red, yellow or white onions chopped,1 tablespoon tomato paste,¾ teaspoon salt,½ teaspoon cumin seeds *,½ teaspoon green cardamom pods *,2 cinnamon sticks *,½ teaspoon black peppercorns *,½ teaspoon cloves *",,15 minutes,6,"Make the best Swahili-style Kenyan pilau! Fragrant, easy to make, and delicious, this recipe is a must-try!",Swahili Kenyan Pilau,40 minutes
610,17 minutes,"Dinner, Lunch, Main Course",Italian,"Set your  Ninja Foodi to the Saute function, under the medium-high heat setting.,Add olive oil, chopped onion, and garlic, and fry for 2-5 minutes, or until fragrant.,Add the minced meat and carrot, and allow the meat to brown. Use a spatula or a wooden spoon to break the meat into smaller pieces.,Add tomato paste, salt, black pepper, Italian seasoning, basil, and thyme. Stir and cook for a further 5 minutes.,Add the brown sugar and beef stock (or water) then combine. Break the spaghetti into thirds or half and add them on top of the meat sauce.,Top with the canned tomatoes or jar sauce, but do not stir.,Using the pressure cooker lid, close your Ninja Foodi and turn the nozzle to the SEAL setting. Pressure cook on high for 7 minutes.,Once the cooking time is up, do a quick pressure release to release the pressure. Remove the lid and allow it to rest for 3 minutes so any remaining liquid gets absorbed into the noodles.,Carefully stir to combine, garnish if preferred, then serve and enjoy.",,"1-2 tablespoon olive oil  (depending on how lean your minced meat is),1 medium-sized onion chopped,3-4 cloves garlic (see notes) finely minced or crushed,500 g minced meat (ground beef, pork, veal, or lamb) (17 oz),1 carrot diced,2 tablespoon tomato paste,1 teaspoon salt,½ teaspoon black pepper (use more or less, to taste),1 teaspoon Italian seasoning,1 tsp  dried basil or a handful of fresh leaves, rolled and sliced,1 teaspoon thyme (fresh or dried),1 teaspoon brown sugar (optional),1000 ml beef stock (4 ¼ cups) (or water),500 g dried spaghetti (17 oz),2 cans  diced tomatoes or jar sauce (400g or 14.5oz each)",,5 minutes,6,"Make this Ninja Foodi spaghetti recipe for a hearty, flavorful, and delicious meal. Because this recipe uses canned tomatoes or jar sauce, which are always readily available, you can be sure of putting together a tasty and family-friendly meal in no time!",Ninja Foodi Spaghetti,25 minutes
148,15 minutes,"Appetizer, Dinner, Lunch, Main Course, Side Dish","American, International Cuisine, North American","Preheat your air fryer at 360°F (180°C) for 5 minutes.,Arrange the frozen sweet potato fries in a single layer in your air fryer basket. For crispy sweet potato fries, do not overcrowd your basket and do not stack them on top of each other!,Mist the fries with some cooking oil,Once the time is up, open the air fryer and check whether the fries are done to your preference. If not, cook further in two-minute increments until you obtain your desired level of crispiness.,Serve the sweet potato fries with aioli sauce, ketchup, or as preferred.",,"1 lb frozen sweet potato fries (approx. 450g),a spritz of vegetable cooking oil (optional)",,5 minutes,4,"Make the best air fryer frozen sweet potato fries! Delicious, crispy outside, and fluffy inside, these are perfect to serve with your favorite dipping sauces, salads, and so much more!",Air Fryer Frozen Sweet Potato Fries,20 minutes
32,48 minutes,"Breakfast, Dessert, Snack",African,"Sift the self-raising flour into a bowl. Add the salt and sugar then combine. Separately, combine the yogurt and vanilla extract and add this to the bowl with the flour.,Knead until you get a smooth homogenous dough. Cover the dough with cling film, or a slightly damp kitchen cloth and place it in a warm place in your kitchen to rest for at least 20 minutes or overnight, for best results.,Transfer the dough to a floured surface and divide it into 4 equally-sized portions.,Roll each portion between the palms of your hands to form a ball. Next, roll out each ball of dough into a circle. Using a sharp knife or a pizza cutter, divide the dough into small rectangles. Brush the tops with melted butter or margarine.,Preheat your air fryer to 350°F (or 180°C). Carefully, line your air fryer basket or spray it with a non-aerosol-based cooking spray.,Place the mandazi inside your air fryer basket with the greased side facing down. Similarly, brush the other side with butter.,Do not overcrowd the air fryer basket, cook in batches, if necessary. Air fry for 6-7 minutes, until the edges start to brown. Flip and air-fry on the other side for a further 5-7 minutes.,Serve with tea, coffee, or enjoy them as they are!",,"1 cup self-raising flour (plus a little bit more, to knead the dough),3-4 tablespoon sugar,1 pinch of salt,1 cup plain yogurt,1 teaspoon vanilla extract,2 tablespoon melted unsalted margarine or butter",,12 minutes,30,"You will love this air fryer mandazi recipe! These mandazis are tasty, easy to make, and perfect to enjoy as a snack or for breakfast with a cup of tea or coffee.",Air Fryer Mandazi,30 minutes
193,25 minutes,"Appetizer, Dinner, Lunch, Main Course, Side Dish",British,"Wash, scrub, peel, and halve the potatoes. Quarter any large ones. Next, clean the peeled potatoes in cold water to get rid of excess starch. Remove the leaves of the rosemary from the stem, chop, and set aside.,Add cold water and a teaspoon of salt to the inner pot of your Ninja Foodi, set the time to 0 minutes, and pressure cook to parboil the potatoes (see notes below, in case your air fryer does not have a pressure cooking function). Do a quick pressure release once the time is up, and carefully remove the lid.,Using a colander, drain and allow the potatoes to sit for 3 minutes. Shake the colander for a few seconds, to help chuff the potatoes, which also helps keep them crispy.,Tip the potatoes into a large bowl, top with olive oil, salt, pepper and rosemary, then toss.,Spray your air fryer basket or line it with air fryer parchment paper, for easier cleanup.,Next, carefully transfer the potatoes to your air fryer basket and roast for 20-25 minutes at 200°C/400°F until cooked through, and crispy edges form. Make sure to flip the potatoes midway through.,Serve these Ninja Foodi roast potatoes as a side dish, alongside your favorite dishes.",,"1000 grams potatoes,¾ teaspoon salt - to parboil the potatoes (or more, to taste),¼ litre water - to parboil the potatoes,¼ teaspoon black pepper (or more, to taste),¼ teaspoon salt (to air fry),a few sprigs rosemary",,10 minutes,4,"These Ninja Foodi roast potatoes are crispy outside, fluffy inside, and delicious at every level. Enjoy them as a side dish or serve them as a starter, with your favorite sauces!",Ninja Foodi Roast Potatoes,35 minutes
,,,,,,,"[{'Calories:': '795'}, {'Carbohydrates:': '9'}, {'Protein:': '37'}, {'Fat:': '68'}, {'Saturated Fat:': '36'}, {'Polyunsaturated Fat:': '7'}, {'Monounsaturated Fat:': '20'}, {'Trans Fat:': '0.3'}, {'Cholesterol:': '247'}, {'Sodium:': '937'}, {'Potassium:': '951'}, {'Fiber:': '1'}, {'Sugar:': '6'}, {'Vitamin A:': '2588'}, {'Vitamin C:': '4'}, {'Calcium:': '213'}, {'Iron:': '2'}]",,,,,
,,,,,,,"[{'Calories:': '282'}, {'Carbohydrates:': '41'}, {'Protein:': '5'}, {'Fat:': '12'}, {'Saturated Fat:': '4'}, {'Polyunsaturated Fat:': '2'}, {'Monounsaturated Fat:': '4'}, {'Sodium:': '214'}, {'Potassium:': '238'}, {'Fiber:': '3'}, {'Sugar:': '23'}, {'Vitamin A:': '5'}, {'Vitamin C:': '0.2'}, {'Calcium:': '99'}, {'Iron:': '1'}]",,,,,
,,,,,,,"[{'Calories:': '381'}, {'Carbohydrates:': '8'}, {'Protein:': '19'}, {'Fat:': '30'}, {'Saturated Fat:': '10'}, {'Polyunsaturated Fat:': '4'}, {'Monounsaturated Fat:': '13'}, {'Trans Fat:': '0.2'}, {'Cholesterol:': '82'}, {'Sodium:': '889'}, {'Potassium:': '575'}, {'Fiber:': '2'}, {'Sugar:': '4'}, {'Vitamin A:': '840'}, {'Vitamin C:': '23'}, {'Calcium:': '33'}, {'Iron:': '2'}]",,,,,
795,12 minutes,"Appetizer, Dinner, Lunch, Main Course, Side Dish",American,"In a small bowl, combine the salt, lemon pepper, brown sugar, sweet paprika, and black pepper.,Pat the salmon dry using a paper towel and cut it into bite-sized 1-1½ inch cubes. Transfer the pieces to a bowl, and top with the melted butter, garlic, and the prepared spices.,Line your air fryer basket with an air fryer liner or spray it with an olive oil spray, for easier cleanup.,Place the salmon pieces inside the basket in a single layer, and air fry at 400°F (200°C) for 5-7 minutes. Prepare the sauce while the salmon is cooking and make sure to check midway through and shake your air fryer basket accordingly. Depending on the air fryer you are using, you may need to flip the salmon pieces using a pair of tongs.,Air fry until the salmon cubes are cooked through in the middle and browned around the edges.,To make the garlic sauce, heat olive oil in a pan or skillet, add the butter and allow it to melt. Add the shallot or onion and garlic, then saute for a few seconds (or until translucent).,Gradually stir in the heavy cream, salt, and parmesan cheese, and allow the garlic cream sauce to simmer for 2-5 minutes, or until thickened.,Stir in the chopped parsley then remove the pan from the heat. To serve, transfer the air-fried salmon bites to plates and top with the garlic cream sauce. Serve with rice, mashed potatoes, steamed vegetables, or your favorite sides.",,"1 pound  salmon,½ teaspoon salt (to taste),1½ teaspoon lemon pepper,1 teaspoon brown sugar - see notes (or a low-carb brown sugar alternative),1 teaspoon sweet paprika,½ teaspoon black pepper (or more to taste),½ teaspoon freshly minced garlic,1 tablespoon butter (unsalted, melted),1 tablespoon olive oil (to make the sauce),1 tablespoon butter (to make the sauce),1 small shallot - chopped (half of a small onion),1 teaspoon freshly minced garlic (use more ,or less, according to taste),1½ cup heavy cream,⅓ cup grated Parmesan cheese,¼ tsp  salt (taste),1 handful freshly chopped parsley (or your favorite herbs such as thyme, or tarragon).",,8 minutes,3,Perfectly seasoned and delicious Ninja air fryer salmon bites with crispy edges topped with a wonderful garlic cream sauce! This delectable dish made with no breading will have you asking for more!,Ninja Air Fryer Salmon Bites with Garlic Cream Sauce,20 minutes
282,30 minutes,"Breakfast, brunch, Dessert, Snack",American,"Add all the ingredients with the exception of the chocolate chips to a blender and process until smooth.,Once blended, add the chocolate chips and combine.,Grease or line a baking tin with parchment paper and then transfer the batter to the baking tin. Use a spatula to spread the batter evenly and then place the baking tin inside your air fryer.,Air fry at 300°F (148°C) for 25 to 30 minutes until puffed up and the tops start to crack. Insert a toothpick in the middle to check if done. The toothpick should come out clean if done.,Serve the air fryer baked oats warm, or allow them to cool and store in airtight containers.",,"2 cups rolled oats,½ cup almond milk,4 tablespoon peanut butter (or your preferred choice of nut butter, such as almond butter).,8 tablespoon maple syrup or honey.,2 tablespoon cacao powder,1 tablespoon olive oil (or any neutral vegetable cooking oil),½ cup applesauce,1 teaspoon baking powder,¾ teaspoon baking soda,1 teaspoon vanilla extract,½ teaspoon cinnamon powder (or more, to taste).,⅓ cup chocolate chips",,5 minutes,8,"This air fryer baked oats with no banana recipe is protein-packed, vegan, healthy, flavorful, and moist inside, with crispy edges. ",Air Fryer Baked Oats No Banana,34 minutes
381,30 minutes,"Dinner, Lunch, Main Course, Side Dish","madagascan, mauritian, reunion islands","Use a fork or a sharp knife to carefully prick the sides of the sausage. Boil water in a saucepan and carefully place the sausages inside. Remove the pot from the heat, allow them to steep for 5 minutes, drain, set aside and allow them to cool. Once the sausages have cooled down, slice them diagonally into 1-inch (about 2.5cm) thick chunks.,Heat oil in a large saucepan and fry the onions until fragrant. Add the coriander stems, spring onion, tomato paste, garlic, and ginger, then stir. Allow this to cook for 1-2 minutes, taking care not to burn.,Next, add the turmeric, cumin, thyme, chillis, salt, and pepper then stir. Mix in the tomatoes, reduce the heat to a low, cover, and allow it to simmer for 15-20 minutes, stirring from time to time.,Add the sliced sausages and allow your rougaille to cook for a further 5-10 minutes, stirring every couple of minutes. Garnish with chopped coriander (cilantro) and serve with some rice, or use it as a filling in your baguette or sandwiches.",,"2 lbs sausages (about 1 kg, use creole or any good quality sausages),3-4 tablespoon cooking oil,3 onions (sliced),4 cloves garlic (minced),½ thumb size ginger (crushed),1 handful coriander (cilantro) stems (reserve the leaves for garnishing),3 stems spring onion,1 tablespoon tomato paste,¾ teaspoon turmeric,¾ tsp  cumin,1-2 sprigs thyme,2 finely chopped chillis (optional) (or a tablespoon of chilli flakes),½ teaspoon salt  (or more to taste),½ teaspoon black pepper,5-6 tomatoes (finely chopped or blended to a puree)",,5 minutes,8,Take your taste buds on a culinary journey with this sausage rougaille (rougail saucisse)!!,Sausage Rougaille Saucisse,35 minutes
,,,,,,,"[{'Calories:': '144'}, {'Carbohydrates:': '14'}, {'Protein:': '3'}, {'Fat:': '8'}, {'Saturated Fat:': '1'}, {'Polyunsaturated Fat:': '1'}, {'Monounsaturated Fat:': '5'}, {'Trans Fat:': '0.01'}, {'Sodium:': '133'}, {'Potassium:': '59'}, {'Fiber:': '1'}, {'Sugar:': '2'}, {'Vitamin A:': '9'}, {'Vitamin C:': '0.1'}, {'Calcium:': '44'}, {'Iron:': '1'}]",,,,,
,,,,,,,"[{'Calories:': '500'}, {'Carbohydrates:': '68'}, {'Protein:': '7'}, {'Fat:': '23'}, {'Saturated Fat:': '20'}, {'Polyunsaturated Fat:': '0.4'}, {'Monounsaturated Fat:': '1'}, {'Sodium:': '485'}, {'Potassium:': '336'}, {'Fiber:': '4'}, {'Sugar:': '3'}, {'Vitamin A:': '10'}, {'Vitamin C:': '4'}, {'Calcium:': '61'}, {'Iron:': '2'}]",,,,,
,,,,,,,"[{'Calories:': '245'}, {'Carbohydrates:': '44'}, {'Protein:': '6'}, {'Fat:': '6'}, {'Saturated Fat:': '5'}, {'Polyunsaturated Fat:': '0.3'}, {'Monounsaturated Fat:': '1'}, {'Sodium:': '372'}, {'Potassium:': '1025'}, {'Fiber:': '7'}, {'Sugar:': '3'}, {'Vitamin A:': '136'}, {'Vitamin C:': '46'}, {'Calcium:': '61'}, {'Iron:': '3'}]",,,,,
,,,,,,,"[{'Calories:': '82'}, {'Carbohydrates:': '10'}, {'Protein:': '3'}, {'Fat:': '4'}, {'Saturated Fat:': '1'}, {'Polyunsaturated Fat:': '1'}, {'Monounsaturated Fat:': '3'}, {'Cholesterol:': '2'}, {'Sodium:': '342'}, {'Potassium:': '276'}, {'Fiber:': '3'}, {'Sugar:': '4'}, {'Vitamin A:': '885'}, {'Vitamin C:': '17'}, {'Calcium:': '70'}, {'Iron:': '1'}]",,,,,
,,,,,,,"[{'Calories:': '349'}, {'Carbohydrates:': '9'}, {'Protein:': '22'}, {'Fat:': '27'}, {'Saturated Fat:': '18'}, {'Polyunsaturated Fat:': '1'}, {'Monounsaturated Fat:': '6'}, {'Cholesterol:': '43'}, {'Sodium:': '831'}, {'Potassium:': '1005'}, {'Fiber:': '2'}, {'Sugar:': '2'}, {'Vitamin A:': '7990'}, {'Vitamin C:': '31'}, {'Calcium:': '123'}, {'Iron:': '6'}]",,,,,
,,,,,,,"[{'Calories:': '9'}, {'Carbohydrates:': '2'}, {'Protein:': '0.4'}, {'Fat:': '0.4'}, {'Saturated Fat:': '0.05'}, {'Polyunsaturated Fat:': '0.1'}, {'Monounsaturated Fat:': '0.2'}, {'Trans Fat:': '0'}, {'Sodium:': '3'}, {'Potassium:': '39'}, {'Fiber:': '1'}, {'Sugar:': '0.04'}, {'Vitamin A:': '25'}, {'Vitamin C:': '0.3'}, {'Calcium:': '20'}, {'Iron:': '1'}]",,,,,
144,6 minutes,"brunch, Dinner, Lunch, Side Dish",American,"Preheat your air fryer. Cut bread into cubes or desired bite-sized pieces.Transfer bread to a bowl.,Top with garlic powder, Italian seasoning, salt, pepper, and olive oil then carefully combine.,Without stacking them on top of each other, transfer the bread pieces to your air fryer basket. Air fry at 400°F (200°C) for 5-6 minutes, or until crunchy and golden brown. Make sure to shake your air fryer basket or flip the croutons mid-cooking.,Serve these Ninja air fryer croutons immediately or keep them in a suitable airtight container for later (see storage instructions in the notes below).",,"4 slices of your favorite bread, including gluten-free or keto bread. (cut into cubes or according to preferred shapes).,2 tablespoon olive oil,1½ teaspoon garlic powder,1 tsp  Italian seasoning,a pinch of salt  (or more, to taste),a pinch of black pepper (optional) (or more, to taste)",,4 minutes,4,"Make the best croutons using your Ninja Foodi air fryer! Combining simple ingredients such as olive oil, garlic powder, and Italian seasoning, you cannot go wrong with this easy recipe!",Ninja Air Fryer Croutons,10 minutes
500,20 minutes,"Dinner, Lunch, Main Course","Indian, World Cuisine","Heat coconut oil or ghee in a medium-sized but deep pot.,Add the onion, then mix to combine. Saute for 1-2 minutes, or until fragrant and translucent.,Next add the cinnamon sticks, cardamom pods, and cumin seeds and fry for about a minute, so they release their aroma.,Add ginger, stir, and saute briefly for approximately 30 seconds.,Next, add the basmati rice, salt, bay leaves, water, and coconut milk, then carefully stir to combine.,Cover, reduce the heat to a medium-low, and simmer until much of the liquid has evaporated.,Next, about five minutes before the end of the cooking time, reduce the heat further to a low and cook until all the liquid has evaporated, and the rice is fluffy and tender.,Once cooked, transfer the basmati rice onto plates, garnish with chopped coriander (cilantro), then serve.",,"2 tablespoon coconut oil (ghee, or your favorite cooking oil),2-3 cinnamon sticks,3-4 teaspoon cardamom pods (elaichi)  (optional - see notes),½ teaspoon cumin seeds (jeera) (optional - see notes),1 small onion finely chopped,1 tablespoon ginger minced,2 cups aged basmati rice - properly cleaned to get rid of excess starch (use good quality rice such as Tilda,1 teaspoon salt,2-3 bay leaves,1½ cups water,1½ cups full-fat coconut milk (approximately 14oz or 400ml),a handful of chopped coriander (cilantro) (optional - to garnish)",,5 minutes,5,"This coconut basmati rice is more than just a simple side dish! It is aromatic, fluffy, creamy, delicious, and very easy to make!",Coconut Basmati Rice,25 minutes
245,30 minutes,"Dinner, Lunch, Main Course","Indian, Indian-inspired, World Cuisine","Place a large skillet, pot, or pan over medium heat and add the cooking oil.,Once the oil is hot, add all the spices. Fry the spices for 30 seconds to a minute, allowing them to release their essential oils and infuse the cooking oil with their aroma.,Add the finely chopped onion, minced garlic, and grated ginger to the pot. Sauté for about 2 minutes or until the onions become translucent and fragrant. Add the diced potatoes, ensuring they get a good coating of the oil and aromatics.,Top with salt, pour in the tinned tomatoes and give everything a good stir.,Reduce the heat to low, cover, and let the curry simmer for about 15 minutes or until the tomatoes break down and become tender. Stir from time to time.,Add the butterbeans then stir, ensuring they are well combined with the curry base.,Pour in the coconut milk, mixing well to combine. Let the curry simmer for a further 10 minutes, stirring from time to time, until everything is heated through and the flavors meld together. Taste and adjust the seasonings then remove from the heat.,Once off the heat, garnish your butterbean curry with freshly chopped coriander. Serve with your choice of accompaniments – rice, homemade naan, or bread, and more.",,"2 tablespoon coconut oil (or your preferred choice of cooking oil, such as rapeseed),½ teaspoon cloves (whole),½ teaspoon peppercorns,7 green cardamons,¾ teaspoon cumin,1 tsp  coriander powder,¾ teaspoon turmeric,1 teaspoon red chilli powder (optional) (use more or less, as preferred - see notes),1½ teaspoon curry powder (use more or less, as preferred),1 teaspoon garam masala,1 small onion, finely chopped,6 cloves garlic (minced),1 tablespoon minced ginger (about ½ of a thumbsize),5 medium-sized potatoes (peeled and diced),¾ teaspoon salt (use more, or less, to taste),1  tin chopped tomatoes ( about 14 oz) or (4 large tomatoes),2 14 oz tins  butterbeans (drained and rinsed - approximately 400g) (see notes),1 14 oz tin coconut milk (400ml),a handful of chopped coriander (cilantro) optional - to garnish",,10 minutes,5,"This butterbean curry with potatoes and coconut milk is an absolute game-changer! It's velvety, bursting with flavor, and hands down the most comforting dish you'll whip up.",Butterbean and Potato Curry,40 minutes
82,6 minutes,"Dinner, Lunch, Side Dish","American, British","Preheat your air fryer to 375 degrees F (or 190 degrees C). In a medium-sized bowl, combine the green beans, olive oil, garlic, salt, and pepper. Drizzle over the lemon juice, then combine.,Arrange the green beans in a single layer, inside your air fryer basket, and air fry for 8-10 minutes until tender and cooked through. Increase the time if you prefer your green beans more crispy (see notes). Depending on the air fryer model you are using, shake the basket or flip the green beans halfway through cooking.,Transfer to a plate, sprinkle the grated Parmesan cheese on top, then serve.",,"500 g fresh green beans (with the stems removed) (approximately 1 lb),1 tablespoon olive oil,1-3 cloves minced garlic (use more or less, depending on taste),½ teaspoon salt,⅛ teaspoon black pepper (or more to taste),1 tablespoon lemon juice,2 tablespoon Parmesan grated cheese",,3 minutes,4,"These ninja air fryer garlic green beans with Parmesan cheese taste amazing, are tender inside, crispy outside, and make the perfect side dish!",Ninja Air Fryer Green Beans,9 minutes
349,,"Dinner, Lunch, Main Course",Filipino,"Heat oil in a wide-sized pan over medium to low heat. Saute the onion, garlic, and ginger. Add the turmeric and cook this for 1-2 minutes until fragrant and translucent.,Add the pechay stems, coconut milk, fish sauce, and chilis. Stir, then allow the sauce to simmer for 5-10 minutes, to mix the flavours.,Add the tilapia and pinch of salt (optional). Cover, and allower to simmer for 5 minutes, then flip.,Cook on low for a further 10-15 minutes, depending on the size of the tilapia (see notes below), until done.  Once cooked, add the pechay leaves and cook for one minute before turning off the heat.,Serve with some steamed rice or your favorite side dishes!",,"2 tablespoon cooking oil  (use any cooking oil that can withstand high heat, such as olive oil),1 medium-sized onion diced,3 - 6 cloves minced garlic (use more or less, to taste),1 thumb-sized ginger cut into thin strips,½ teaspoon turmeric,1 bunch pechay, with the leaves and stems separated (cut the stems into bite-sized pieces),1½ cups canned or homemade rich coconut milk (see notes below),2 tablespoon fish sauce,2 Thai red chilis (optional - leave it out if preferred),2 whole fresh tilapia fish (gutted, scaled, and cleaned),pinch of salt  (optional)",,,4,"This Ginataang tilapia recipe with pechay always comes through! Simmered to perfection, this flavorful and creamy Filipino dish is easy to prepare and perfect for a satisfying meal.",Ginataang Tilapia with Pechay,
9,3 minutes,Spice,"African, Somali","Gather all your spices. Break the cinnamon sticks into smaller pieces.,Transfer all the spices except for nutmeg, turmeric, and red chili powder (optional) to a pan and roast under low to medium heat.,Next, tip the roasted spices to a plate and allow them to cool. Once cooled, grind the spices using a pestle and mortar, or a spice or coffee grinder.,Transfer the ground spices to a bowl and add the ground turmeric, nutmeg, and chili powder (optional), then mix. Transfer your xawaash to a spice jar or a suitable airtight container and store it in a cool and dry place for use immediately, or later.",,"4 tablespoon cumin seeds,4 tablespoon coriander seeds,4 tablespoon fennel seeds,2 tablespoon fenugreek seeds,1½ teaspoon cinnamon,1½ teaspoon black peppercorns,2 teaspoon cloves,1½ teaspoon cardamon,3-4 bay leaves,2-3 star anise,1 teaspoon ground nutmeg,1 teaspoon turmeric,1 teaspoon chilli powder  (optional)",,7 minutes,40,Enhance the flavours of your food with this aromatic and homemade Somali xawaash spice recipe!,Xawaash,10 minutes
,,,,,,,"[{'Calories:': '401'}, {'Carbohydrates:': '14'}, {'Protein:': '15'}, {'Fat:': '33'}, {'Saturated Fat:': '9'}, {'Polyunsaturated Fat:': '3'}, {'Monounsaturated Fat:': '7'}, {'Cholesterol:': '0'}, {'Sodium:': '427'}, {'Potassium:': '799'}, {'Fiber:': '7'}, {'Sugar:': '4'}, {'Vitamin A:': '7233'}, {'Vitamin C:': '77'}, {'Calcium:': '164'}, {'Iron:': '5'}]",,,,,
,,,,,,,"[{'Calories:': '316'}, {'Carbohydrates:': '5'}, {'Protein:': '24'}, {'Fat:': '21'}, {'Saturated Fat:': '6'}, {'Polyunsaturated Fat:': '5'}, {'Monounsaturated Fat:': '9'}, {'Trans Fat:': '0.1'}, {'Cholesterol:': '95'}, {'Sodium:': '696'}, {'Potassium:': '353'}, {'Fiber:': '1'}, {'Sugar:': '3'}, {'Vitamin A:': '1555'}, {'Vitamin C:': '24'}, {'Calcium:': '27'}, {'Iron:': '2'}]",,,,,
